,req,res
14430,서바이벌 게임 해봤어?,아직 해보진 않았는데 하고 싶어
14431,예전에 유행이였는데,나는 심장이 두근거려서 못견딜꺼 같긴해
14432,난 5초만에 죽었어,직접 체험한거야?
14433,응 그런데 다시 해보고 싶어,우리 아이를 한번 참여시키고 싶어
14434,요즘 황사 얘기 안들리지?,매일 마스크 쓰니까 신경도 안쓰고 있었네
14435,코로나땜에 중국공장이 안돌어가나?,아... 무슨일이지?
14436,코로나의 좋은점이네,맞아 겨울에 중국 석탄 난방때문에 많았는데
14437,빨리 친환경에너지로 변환됐음 좋겠다,맞아 맞아
14438,보이스피싱이 엄청 극성이래ㅠㅠ,아 진짜 방법도 가지가지더라
14439,"응 핸드폰 잃어버렸다고 자녀 사칭하고, 건강보험내역 확인하라고 해서 링크 클릭했다가 당하고... ㅠㅠ",아...진짜 왜 그러고 사는지
14440,우리는 괜찮은데 부모님 연령대에서 주로 당하시는것같더라고. ㅠㅠ,근데 사회적 약자한테 그런짓을 주로 하는게 나도 용서가 안 돼./우리아빠도 당할뻔하셨다고
14441,"이게 진짜 주기적으로 부모님들한테 당부하고, 계속 얘기해드리는것 말고는 대안이 없는게 답답하다.",사기꾼에 대한 처벌도 약하고. 못잡는일이 태반이라 자꾸 확산되고 방법만 용이주도해지는것같아서 화가나
14442,필라테스 배워볼까 생각중이야,필라테스? 살 빼려고?
14443,"다이어트도 하고, 몸매라인도 교정이 된다하니 배워보려고",동네에 필라테스 학원 있어?
14444,응 우리동네 주 2회 배우는 곳이 있더라고,근력에도 도움이 되고 잘못된 자세도 잡아준대
14445,우리동네에서 같이 배울래?,그래 나도 다이어트 해야하는데 식단조절도 함께하려고
14446,나 오늘 친구랑 영화 봐.,"오, 재밌겠다."
14447,나 '듄' 보기로 했어.,그거 광고로 많이 봤어.
14448,나도 광고 보고 재밌을 거 같아서 보기로 했어.,나도 다음에 한 번 보고 싶어.
14449,전쟁 장면이 많은데 엄청 스릴 넘쳐.,"우와, 엄청 재밌을 거 같아."
14450,요즘 날씨에 보일러 켜요?,네 갑자기 너무추워서 24도로 틀어요
14451,보일러 10분마다 돌아가게 하는게 좋은 거 같아요,10분마다요? 너무 자주아니에요?
14452,10분 아니더라도 일정 간격으로요,저흰 그냥 24도로 정해놔서 가끔 돌아가더라구요
14453,우리도 온도로 설정해 놨는데 1도만 올려도 갑자기 확 더워지는 느낌이라서요,따뜻해서 전 좋더라구요
14454,저는 틀면 좀 더웠어요,바닥이 따뜻하니 좋은거 같아요
14455,지하철 역 언제 된대?,우리 인천 1호선 24년 개통 아니야?
14456,빨리 되면 좋겠다,이제 3년 남았네
14457,너무 불편해...,서울도 지하철 타고 가고 싶다
14458,어디 가려면 지하철이 최곤데...,맞아 차가 막히니
14459,얘들아 나 내일 예식장 아르바이트 하러간다 키키 투잡이야,헐 안 피곤하겠어?
14460,피곤하지만 참아야지,돈을 얼마나 벌려고 그러는거야...
14461,휴 사고싶은게 생겼어...,뭐 사려고?
14462,자동차 사려고,아이구... 쓰리잡은 뛰어도 모자르겠는데?
14463,요즘 영어 배우는 사람들 많나요? 늦게라도 배우고 싶네요,늦깍이 학생 많죠. 저도 배우고 싶어요.
14464,늦게 배우는데 어려운 점은 없나요?,영어 배우고 계신가봐요./초급반 들어갈까봐 조금 창피할 것 같아요.
14465,이제 배우는게 겁이 나지만 용기를 내보려 합니다.,그 용기 멋있습니다. 저도 배워볼래요.
14466,저도 동기 여부가 필요 할 것 같습니다.,그거 제일 좋은 방법이네요./의욕이 생기겠어요.
14467,오늘 저녁에 오랜만에 사촌들과 만나서 저녁 먹기로 했어.,좋겠다 오랜만에 가족들 만나고 부럽네/우린 가족 모임 한 지가 언제 인지
14468,그래서 딱 3명만 만나기로 했어.,아직도 최대 인원이 3명이었던가?
14469,그건 아닌데 사촌이 둘이라 셋만 인거지.,그래도 부럽다 우린 연락할 친척이 없어
14470,어른들과는 연락 안해. 서먹해서 말이야.,또래면 너무 좋지 대화도 통하고/나의 친척 오빠는 나이가 환갑이 넘었어
14471,인터넷에서 결혼하는 비용을 봤는데 너무 비싸.,"응, 나도 비싸다고 들은 것 같아."
14472,웨딩드레스 비싼 건 천만 원씩 한 대.,한 번 빌리는데 그렇게나 비싸다고?
14473,찾아보면 싼 게 있겠지. 그래서 나는 결혼식 작게 열 거야.,나는 결혼식 돈이 많이 나가더라도 엄청 크게 열 거야.
14474,나도 솔직히 결혼식 할 돈으로 다른데 쓰고 싶긴 한데 그래도 형식상 해야 할 것 같아.,한 번 하는 결혼식인데 무조건 해야지.
14475,너네 닥터피쉬 체험 해봤어?,응 예전에 찜질방에서 해본듯 해 키키
14476,예전에 유행이라고 했는데 나는 아직도 유행에 따라가지 못했네…. 어때 안 무섭니?,징그러웠어 나는 ㅠㅠ/돈 내고 하고싶진 않아 ㅠㅠ
14477,안아팠어? 피는 안났어? 찜질방에서 왜 나는 보지 못했을까?,봉명동 쪽에 있는 온천 거기 찜질방에 있어!/아프진 않고 간지러워
14478,각질 엄청 많아서 엄청 붙어있으면 창피할것 같기도 하다,키키 으익 키키 맞아 물고기떼가 내 발 각질에게 덤비면 민망할 것 같다/추천하지 않을게!
14479,갑자기 농구 하고 싶다,오~ 왜 갑자기 농구를?
14480,"농구 잘 하는 건 아니지만, 그냥 숨이 차게 막 뛰는 운동이 농구잖아 키키","뭐야, 키키 링에 공은 넣을 수 있는 거야?"
14481,아니... 그건 자신 없어... 키키,아니 뭐야 키키 그런데 집에 농구공 이제 없는 거 같은데
14482,근데 그 농구공 다 좀 너무 오래되서 바람 빠지고 별로 탄력 없고 무겁기만 하더라고,뭐… 농구를 안하니 좀 공이 사라지고 그러네
14483,아빠하고 그 공 가지고 정말 재밌게 농구했던 기억이 있어,아... 그 때 아빠도 정말 어린애처럼 즐거워하며 재밌게 하셨는데...
14484,오락실 가봤어?,가끔 쇼핑몰 가면 가지
14485,나도 어릴때 갔었는데...,나도 어릴때 한번씩 갔지
14486,그래? 한 번 가보고 싶다,나는 특히 보글보글이 좋았어
14487,이근처 영화관에는 없던데?,걸포동 가면 있더라
14488,추워지니까 건조해지는거 같아,건조해서 우리 아이도 목이 부었어
14489,얼굴이 자꾸 댕겨,맞아 그래서 가습기 필수야
14490,그러게 보습관리를 해야될듯 해,도라지배즙을 쌓아놓고 있어
14491,물을 너무 안마셔...,목에 도움이 될꺼 같애
14492,"요즘 코스피가 너무 떨어져서 주식을 사지도 못하고, 구경만 하기에도 걱정스럽고...",아 나도 맨날 주식창만 보고있어.
14493,어떻게 될지를 몰라서.,2주연속 떨어졌으면 주워도 될정도로 가격이 낮아지긴했던데
14494,이래도 되나 하면서 일이 안잡힌다.,경제전문가들도 다 말이 달라서 나도 너무 고민돼
14495,나만 돈 못벌고 있는것 같아서,나도 그래./아무것도 안하고 있으면 뒤쳐지는것 같아
14496,요즘은 헤어학원도 있다면서~,응 헤어를 직장으로 가지려는 사람들이 많이 다니는거 같더라고
14497,응 친구가 헤어관련 전공과를 나와서 헤어학원을 다니고 있더라고,적성에 맞대?
14498,응 재능도 있고 다니면서 즐거워하더라,미용은 기술이 가장 중요하지
14499,응 친구는 미용하는 사람들 중 나이가 어린 편은 아니지만 스텝알바도 하면서 학원을 같이 다니고 있어,그래도 본인이 좋아하는 것을 직업으로 삼고 있다니 멋지다
14500,'이터널스' 영화 아는 사람 있어?,"응, 나 그거 알아. 개봉하면 바로 볼 거야."
14501,새로 출시되는 마블 영화야.,나는 엄청 기대하는 중이야.
14502,11월 3일에 개봉한대.,이번 마블에 마동석도 출연해.
14503,"맞지, 한국인이 마블에 나오다니...",마동석 많이 나왔으면 좋겠어.
14504,저흰 맨 아래층이라 더 추운거 같아요,그러게요 보일러 일찍 켜야겠어요
14505,아랫집의 온기가 안 올라오니 겨울에 난방비 많이 들더라구요,그래도 층간소음 부담이 없어서 좋지요
14506,그건 그렇긴 한데 겨울에 너무 추워요,그래도 여름엔 더 시원하죠?
14507,맞아요 해가 깊이 안 들어서 덜 더워요,집마다 다 장단점이 있는것 같아요
14508,맞아요 장단점이 있죠,그죠 다 좋은 집이에요
14509,나 이번주에 시골가.,시골 어디로?
14510,시댁 행사가 있어.,**이 부산가네?
14511,한 5시간 정도?,이젠 너무 멀어서 사실 힘들어.
14512,너무 차가 막혀서 힘들어...,맞아 나도 그렇거든.
14513,얘들아 다들 회사에 인생친구 있어?,나 회사에서 왕따야...
14514,그래...? 내친구도 회사에서 인생친구 만들었더라...,자리가 혼자 멀리 떨어져있어서 다른분들 얘기하는게 안 들리더라고...
14515,키키 ㅠㅠ진짜...? 자리 왜그렇게 잡았는데...,늦게 왔는데 내 자리를 거기로 잡아두셨더라고...그렇게 자연스럽게 왕따가 된거지...
14516,에이 아니겠지...,하...눈물밖에 안 나네...
14517,도배를 해볼까 했는데 도배도 자격증이 있네요 공부 해야 한데요,전문직종이라 괜찮겠네요./그 것도 국비지원 되는 게 있을까요?
14518,저도 그냥 해볼까 하는데 자격증이 왠말이고 공부가 왠말인가 해서 놀랐네요,도배기능사라고 국비지원이 있데요. 한번 알아보세요.
14519,뭐든 공부가 필요한 시대네요 뭘 배운다기가 무섭네요,그렇죠. 그래도 도전해보세요.
14520,네 그래야 겠네요 감사합니다.,건축관련은 정말 힘들 것 같아요. 힘내세요.
14521,부산에서 사촌 결혼식을 10시에 시작한데 어떡하지?,너무늦은거 아니야? 지금 12시 30분이잖아
14522,다행히 오늘은 아니고 이번 주 주말인데 서울서 출발을 몇시에 해야하는 걸까?,전날 가는게 편하지 않을까?
14523,그게 낫겠지? 새벽부터 출발 할 수도 없고 말이야.,그럼 시간 애매하면 먼저 출발 하는게 편해
14524,못 할줄 알았거든. 그날 축하 많이 해주고 와야겠어.,그래 나도 축하 한다고 전해줘
14525,연애 안 한 지 너무 오래됐어.,가을이라 그런지 연애하고 싶다.
14526,나는 지금 반년 정도 됐어.,나는 3년 됐어.
14527,나는 연락이 최우선이라고 생각해.,연락만큼 중요한 게 이성친구 관리인 거 같아.
14528,"맞아, 연락은 틈틈이 해줘야 해.",그래야지 믿음이 생기는 거 같아.
14529,너네 집에서 물고기 키워본 적 있어?,아니 없어 하하 너희는?
14530,나는 구피 물고기랑 금붕어 붕어 키워봤어,우와 **이는 많이 키워봤다/구피는 정말 동료들을 먹어?
14531,ㅜㅜ근데 진짜 어릴때 아직도 생각나는 것이 금붕어가 서로 물어 뜯어서 죽어있어...,맞어 물고기는 자기 동료들을 먹고 물고 막 그러더라 ㅠㅠ
14532,금방 잘 죽고 그래 구피는 번식력이 엄청나 그래서 잡아 먹어도 티가 안나,자기가 낳은 자식도 먹고 또 낳고 자라고 낳고 먹고/놀랍고 무서움 ㅠㅠ
14533,요즘에 스포츠 어떤거 보시나요?,요즘은 안보고 있어요
14534,저는 쇼트트랙 좋아해서 유튜브로 보고 있어요,저도 쇼트트랙을 너무 좋아해요
14535,저의 최애 선수가 잘하는 모습을 보면 흐뭇해요,최애 선수 이름이 어떻게 되나요?
14536,저도 어릴때 배웠으면 좋았을 것 같아요,공감이에요 저도 잘 타고 싶어요
14537,아들이 게임을 많이 하는 거 같아,애들이 할게없어
14538,코로나 때문에 더 그런거 같아.,게임안하면 티비보고
14539,오늘도 싸웠어,맨날 심심하데
14540,너희 애들은 얼마나 해?,우리 애는 하루에 한시간
14541,요즘 일교차 너무 심해.,맞아 감기걸리기 딱이야
14542,그러게 감기가 유행인가봐,애들 편도염도 많이 걸린데
14543,기침하기 무서운 시기잖아.,온도조절을 잘해야 할꺼 같애
14544,병원도 조심해야 돼.,병원에 사람 엄청 많더라
14545,다 막혔대,어쩌냐./나 이집 계약 끝나고나면 다시 전세대출 해야되는데.
14546,"요즘 금리인상때문에 말도 많고, 대출규제도 엄격해졌다고 대출이 다 막혔다고 뉴스나오고 난리야",ㅠㅠ 하...
14547,"대출 알아보다가 나도 마음이 답답해져서, 그냥 이야기 해봤어",무슨 마음인지 알아.
14548,자기 돈 가지고 전세금을 마련할 수 있는 젊은 사람들이 얼마나 되는 걸까?,글쎄다... 사회생활을 이제 시작한 청년층이 목돈을 쥐고 있는 게 현실적으로 가능하긴 한 거야?
14549,화장 진하게 하는 편이야 연하게 하는 편이야?,난 연하게 하는 편이야
14550,나도 어렸을땐 진하게 화장했는데 나이를 먹을 수록 연하게 하게 되더라고,연하게 하면 자연스럽긴하지
14551,맞아 한듯안한듯한 화장이 유행이긴하지,응 피부만 메이크업이 잘되도 사람이 달라보이더라고
14552,그러게 메이크업보다 피부에 더 신경써야겠어,그렇지 물 많이 먹고 잠도 푹 자도록해봐
14553,곧 있으면 '신의 탑' 나와.,나도 '신의 탑' 보려고 대기 중이야.
14554,월요일마다 나오는 웹툰이야.,지금 11년째 연재 중인 작품이야.
14555,그만큼 스토리가 많아서 재밌어.,그렇긴 하지만 요즘 스토리 전개가 안 돼.
14556,"그러게, 빨리빨리 스토리가 전개되면 좋은데...",웹툰 작가 입장에선 돈을 벌기 위해서는 끄는 게 좋으니까 그렇지 않을까?
14557,언니 새집 냄새 안나요?,이젠 괜찮은것 같아요 **이네는 아직 나요?
14558,저흰 왜 아직도 새집 냄새가 나는지 스트레스에요,왜 그럴까요? 계속 환기밖에 답이 없는거 같아요
14559,그래서 저흰 피톤치드 사서 매일 뿌려주고있어요,그러면 효과 있어요?
14560,그냥 그런거 같아요 환기가 젤 좋은거 같아요,맞아요 입주전에 비싸게 피톤치드해도 효과없다고 알고 있거든요
14561,맞아요 근데 이제 겨울이라 환기가 어려워져서 걱정이에요,그래도 애들 없으때 환기 많이해요 나도 힘들어요
14562,경차 너무 좋은거 같아,"경차가 주차, 톨비 반값이야"
14563,자동차세금도 적고,맞아 나라에서 유류비도 지원하지
14564,팔때도 많이 받던데?,무엇보다도 주차할때가 제일 좋은듯
14565,유류비 지원도 있어?,있다하더라구
14566,우리 첫째 회사 입사했어.,취업 축하해
14567,고2인데... 효도했지?,고2라고? 어디를 취업했어?
14568,포스코에 취직했어.,고등학생도 받아줘?
14569,마이스터고는 2학년때 취직한데...,그렇구나 부럽다
14570,우리 아이 오늘 부터 미술학원 다녀요,축하해요. 좋아하던가요?
14571,너무 좋아 하더라구요 예전부터 보내 달라 했었는데 이제 겨우 보냈거든요,우리 아이도 가고 싶어하는데 못 보내고 있어요.
14572,그나마 저도 겨우 간다고 하는곳이 미술이네요,가고 싶다고 하는 곳이 있어서 좋네요.
14573,저희도 무리해서 보내는거라서 더 간다고 할까봐 무서울 때가 있네요,한다고 하면 다 시켜줄텐데 의욕이 없네요.
14574,나 우리 엄마 자동차 사드렸어.,우리 어제 가족 사진을 찍었어 오랜만이라 좋더라고
14575,지난번에 찍으러 간다고 하지 않았어? 그 날 못 갔구나.,어 그래서 어제 찍었어 좋더라고
14576,그래서 엄마랑 하루종일 운전 연습하고 들어왔어.,좋겠다 엄마랑 운전도 같이 연습하고 보기 좋다
14577,너무 좋아하시더라고. 화낼 뻔 했지만 참았어.,엄마랑 데이트 엄청 부럽다/우리 모녀는 운전 할수 있는 사람이 없어서 아쉽네
14578,국제결혼 하는 거 어때보여?,본인의 선택인 거 같아. 난 찬성!
14579,근처에 국제 결혼 한 커플이 있어?,물론 언어적인 문제도 있겠지만 더러 잘 살더라.
14580,나는 파키스탄인과 인도인과 결혼한 친구들 있는데 다들 잘 살더라.,요즘 유튜브 보다보면 그런 커플들 이야기가 많아.
14581,베트남에서 한베가정은 행복해보였어?,일반적으로는 불행해보였어./뭔가 겉도는 느낌이라고 할까?
14582,너네들 강아지 키워?,"응, 지난 달부터 키우기 시작했어."
14583,"아하, 나는 키운지 얼마 안 됐어.",정말 귀엽겠다. 배변 훈련은 했어?
14584,너희들은 어떻게 훈련했어?,나는 배변패드에서 볼일을 보면 칭찬을 했어.
14585,정말? 쉽지 않겠다.,"응, 아직도 배변패드에서 볼일을 안 보는 경우가 많아."
14586,형부가 낚시줄에 바늘을 끼고 있어서 뭐하는지 물어봤어요,고기 밥 준비하시는 거였나요?
14587,11월달에 또 갈치 낚시를 간다고 하더라고요,춥지 않나요?
14588,몇개월에 한번씩 바다 낚시를 가는 형부가 이해가 안가요,이야기를 들어보니 저도 이해가 안 갑니다.
14589,가서 생고생만 하고 오는데도 좋아하더라고요,집나가면 생고생인데 다들 왜 그러시는지...
14590,배틀그라운드 알아?,나는 생소하네
14591,그런거야? 요즘 인기인가봐,요즘 많이 한데?
14592,난 게임을 잘 몰라서 궁금해,젊은 사람들이 하는 건가 보다
14593,총 쏘는 건 싫은데.,온라인으로 하는 건가?
14594,요즘 이상기후 문제야,맞아 너무 추워지고 더워져
14595,그러게...환경 보전 신경써야 되는데,그렇지 환경 오염이 문제지
14596,이 가을에 단풍도 없는거 같아,헉 가을에 단풍이 없다니 슬프다
14597,단풍이 안이쁘데...,코로나로 축제도 다 없데
14598,나 방금 뉴스보다가 어처구니 없는거 봤다.,뭔데?뭔데?뭔데?
14599,제주도 빵집에서 어떤 할머니가 문을 못열어서 보다못한 청년이 문을 대신 열어줬거든,착한사람이네./좋은 일 했구만
14600,근데 그 할머니가 균형을 잃고 넘어지면서 뇌손상이 와서 사망하셨고 청년은 과실치사로 입건됐대,헐… 도와주려다가 감옥가게 되는거야?
14601,사람이 죽고 유족들이 신고하면 입건이 안될수가 없다나봐.,참 답답하네 뭔가
14602,요즘 피부 탄력이 많이 떨어진가 같아서 콜라겐을 먹어볼까 하는데 어때?,난 콜라겐 먹고 있어
14603,정말? 언니가 먹는 콜라겐은 뭐야?,요즘은 먹기편하게 젤리로도 나오더라고
14604,젤리형태로 된 콜라겐도 괜찮겠다,응 후기보면 맛도 있어서 약같이 느껴지지않는다하네
14605,맛도 중요하지만 효과가있어야하니 후기를 자세히 봐야겠어,응 꼼꼼히 찾아봐
14606,재밌는 책 추천해 줘.,'봉제인형 살인사건' 알아?
14607,그게 무슨 책이야?,추리소설이야.
14608,나 다니엘 콜 작품 다 좋아해.,그럼 '봉제인형 살인사건' 꼭 읽어.
14609,그건 언제 출시했어?,올해 2월에 출시했어.
14610,주택이 아파트보다 진짜 추운거 같아요,요즘 지은 집들은 단열이 잘 돼 있어서 괜찮은데 아무래도요
14611,어머님댁이 주택인데 진짜 외풍이 심하더라구요,우리 친정도 그래요
14612,샷시를 전부 바꿔야 할까봐요,옛날집이라 어쩔 수가 없는 것 같아요
14613,맞아요 바닥도 너무 차구요,바닥도 차가워요? 배관 청소 하시면 훨씬 나아요
14614,물도 지하수라 진짜 차가워요,지하수면 시내는 아닌가봐요
14615,차 바꾸고 싶다,요즘 새차 많이 타더라
14616,연식이 10년 넘어서...지겨워.,바꿀때가 됐네
14617,그런데 조만간 내연기관차 안판다고 해서 ...기다릴 생각도 있어,전기차?
14618,전기차 상용화되면 바꿀까?,요즘에 전기차 많이 타더라
14619,재택근무 하고 싶다.,요즘 재택근무 엄청 많이 하더라
14620,출근하기 너무 힘들어,맞아 이래저래 시간절약인거 같애
14621,차가 너무 막혀서 2시간 걸려.,단점은 혼자 하루종일있는거?
14622,그건 참을수 있을듯 해,난 좀 답답할꺼 같애
14623,저 지금 학원갑니다. 목공일을 배우러 다닙니다.,목공이요? 대단하신데요.
14624,아이 장난감을 만들어 주다가 본격적으로 배워 보자 싶어서요,목공공예 같은 거군요./그건 저도 배워보고 싶었어요.
14625,오늘은 도마를 만들러 갑니다. 너무 기대 됩니다.,도마는 실습하는 것 본 적있는데 사포질을 많이 해야되더라고요. 생각보다 많이요.
14626,네 저도 그 느낌을 너무 좋아 합니다.,저도 좋아해요. 저는 DIY 좋아했었는데 공예 같이 배우러 가요.
14627,우리 여동생 살이 너무 안 쪄.,부럽다 이게 무슨 일이야
14628,그러니까 말이야. 나랑 20키로 차이 나는 거 있지.,동생은 결혼 했어? 그래도 날씬해?
14629,응 애까지 낳았어. 근데도 결혼 전 몸무게랑 똑같아.,애도 낳았는데 말랐다니 정말 부럽다
14630,모든 옷을 다 줄여야된다니 정말 부러운 동생이야.,응? 내가 뭘 잘못 들은거야 늘리는게 아니라 줄인다고? 줄여주는 수선이 있었어? 정말 신기하다
14631,종교가 다른 사람이 결혼을 하면 힘들까?,상대가 얼마나 독실한지에 따라 다를거 같아.
14632,기독교는 특히 전도사상때문에 기독교를 희망하더라.,교회에 다니는 사람이라도 본인의 신앙심의 깊이가 다르듯이.
14633,불교는 상대방 종교를 크게 신경안쓰는 듯 해.,아니면 제사를 지내기 싫어서 기독교가 아닌데 기독교라고 할지도.
14634,나는 종교가 같은 사람을 만나서 다행이네!,기독교가 오히려 되게 보수적인 측면이 강해다고 해.
14635,강아지가 자꾸 내 몸에 올라타서 비비고 그러는데 원래 그런 거야?,우리 강아지는 안 그런데.
14636,키운지 12개월 넘었어.,중성화 수술 시켜야 하는 거 아니야?
14637,아직 안 시켰는데 큰일 난 거야?,큰일까지는 아닌데 빨리 시킬 수 록 좋아.
14638,정말? 빨리 시켜야겠다.,중성화 수술 후에 강아지가 호르몬 분비가 달라져서 많이 먹을 수도 있대.
14639,팔굽혀 펴기를 잘하시나요?,젊었을 때는 쉽게 했는데 지금은 10개도 어려운 것 같습니다.
14640,가장 많이 한건 몇 개 인가요?,200개 좀 넘게 했던 것 같습니다.
14641,팔뚝살 빼는 운동은 뭐가 좋을까요?,팔뚝살을 빼셔야 하는건가요? 드레스를 입으셔야 해서?
14642,다리 살 빼는 운동도 궁금해요,드레스가 길어서 다리살은 안 빼셔도 될 것 같은데요
14643,오징어게임 참가하라고 하면 하실껀가요?,아니요.
14644,진짜 죽는게임이라니 너무 무서워요,진짜 죽기 전이여도 무서워서 못하겠어요.
14645,다들 게임하는거 보셨어요?,저는 구슬치기 세트장 가고싶어요./게임 봤어요.
14646,다들 해보고싶은 게임이 다르네요,그러게요~
14647,구슬치기가 젤 어려울 것 같은데요?,여직원 중에 마지막 살아남는 사람 누굴까요?
14648,겨울옷 준비했어?,나는 작년에 입던거 꺼내야지
14649,이번 겨울 많이 추운가?,엄청 춥다고 하더라
14650,난 롱패딩 장만해야겠네...,아이가 더 커져서 새옷 사야겠네
14651,아.그렇다 애들 옷도 준비해야 돼,롱패딩이 따뜻하긴해
14652,오 드디어 코로나 슬슬 해제되나보다...,그치 백신접종도 대부분 다 맞았을테니까...
14653,다음달부턴 식당이랑 카페 야간에 운영시간 제한 일부 해제한대.,오.../드디어 저녁먹고 야외에서 치맥 할 수 있는건가?
14654,응 2차접종까지 다 맞은 사람들은 10명까지 모일수도 있대.,아 그럼 회식 다시 생기겠네 ㅠㅠ
14655,그래도 얼른 일상으로 돌아가고 마스크도 벗고 그러고 싶다.,그러게말이야.
14656,확실히 추워지니까 입술이 자주 터,건조해서 갈라지는구나
14657,나도 자기 전에 꼭 바르고 있어,그래 날이 건조해지면 입술에서 가장 먼저 건조함이 나타나는것같아
14658,나는 윗입술은 잘 안트는데 아랫입술만 터,그것도 신기하다
14659,그러니까 나도 궁금해,각질제거도 잘해줘야 겠다
14660,웹툰 '화이트 블러드' 알아?,나는 처음 들어봐.
14661,"스토리, 그림체 다 내 스타일이야.",무슨 요일에 해?
14662,그런데 이제 완결 났어.,"헐, 아쉽겠다."
14663,시즌 2 나오면 좋겠다.,무슨 내용이야?
14664,이번에 인테리어를 좀 바꿔볼까해요,어디 바꾸고 싶은데요?
14665,가끔 한번씩 기분전환으로 가구 배치 바꾸고 그래요,대단해요 나는 한번 놓으면 옮기지 않아요
14666,그건 그래요 너무 큰 가구들은 옮기기가 힘들어요,아는 언니는 수시로 옮기더라구요 혼자서
14667,한번씩 바꾸면 기분전환도 되고 대청소도 되고 좋은거 같아요,맞아요 대청소도 되고 아니면 그 아래 청소할 일도 없구요
14668,맞아요 그건 그래요 일석이조죠,더 추워지기 전에 한번 해야겠네요
14669,카카오자전거 알아?,나는 못들어봤어
14670,진짜? 어때?,전기 자전거 구나
14671,애들도 탈수 있어?,우리 동네에 있나?
14672,우리동네 어디 있어?,좀 멀긴한데 한번 가봐야겠다
14673,**이 너 일하는 거 어때?,나 너무 지겨워
14674,반복일은 힘들지...,먼가 새로운 일을 하고 싶어
14675,그렇지? 난 그냥 일도 하고 싶어,카페에서 일하고 싶기도 하고
14676,카페 좋다. 나도 하고 싶다,나이 많아서 안써주겠지?
14677,너희는 다시 고등학교를 들어간다면 실업계를 갈거야 인문계를 갈거야?,음...나는 학교 자체를 안갈 것 같아ㅋ 키키 자퇴하고 검정고시~
14678,오 주관이 뚜렷하구나 이유가 있을까?,**말대로 실업계 갈 것 같은데 거기 다시갈 바에는 자퇴 후 검정고시 빨리 봐서 다른 일 할 것 같다 키키
14679,아 대학교를 안가고? 나도 실업계 가서 그 때는 성적 더 잘 받아서 인 서울 대학교 가고싶다 키키,응ㅋ ㅋ아니 일찍 검정고시 보고 대학도 일찍 가는거야~
14680,하고싶은 것을 빨리 찾는다면!,키키 응 슬프다  다 돈에 관련이네 ㅜㅜ
14681,우리 아빠 너무 자상하신 것 같아.,어 우리 아빠도 정말 다정하고 자상하신 편 같아
14682,많이 달라지셨어. 나이가 들어가셔서 그런건지,우리 아빠는 원래 부터 자상했어 친절 하고
14683,그러게 남편도 나이들면 변하려나.,세상에 아빠만 변하지 남편은 변하지 않더라
14684,아빠도 그래서 자상해지셨나보다.,다들 사람들이 좋게만 변했으면 좋겠다
14685,이혼 한 사람들한테 재혼은 필수일까?,이혼한 사람들 너무 잘사는 사람들 많더라.
14686,요즘 티비에도 많이 나오던데 다들 재혼은 하고 싶어 하는거 같더라,본인 커리어적으로 만족도가 높으면 살만하다고들 해.
14687,그러게 나도 그럴줄 알았는데 대부분 재혼을 생각하고 있어서 놀랬어,어떻게 이혼했느냐가 다음 선택에 중요하지 않을까 싶어.
14688,그래 어차피 선택은 자유니까 그렇긴하지,재혼도 계속 한 사람들이 한다고 하더라.
14689,너네 침팬지 좋아해?,"응, 난 침팬지 좋아해."
14690,침팬지 너무 키우고 싶어.,외국에서 침팬지 키우는 영상 본 적 있어.
14691,나도 자세한 건 모르겠는데 기회가 된다면 키우고 싶어.,"나도 그래, 똑똑해서 사람 말도 잘 알아듣고 너무 귀여워."
14692,네가 침팬지에 대해서 잘 몰라서 그래.,"맞아, 조금만 찾아보면 정말 빠져들지도 몰라"
14693,골프를 좋아 하시나요?,골프 해 봤는데 재미가 없었습니다.
14694,골프는 어떻게 하는 건가요?,골프채 휘두르면서 공 치면 되는거 아닌가요?
14695,실내골프와 야외골프의 차이점은 무엇인가요?,많이 걷는다 안 걷는다 차이 아닐까요?
14696,다음에 알려주실수 있나요?,저는 그만둬서 알려드릴 수가 없네요.
14697,내일 어떤 게임 할까요?,무슨 게임 종류 있죠?
14698,맞아요. 하하,게임회사인줄 알겠어요
14699,저희 점심시간엔 게임 회사에요~,법인카드로 사달라고 해보세요 팀장님한테
14700,좋은데요~,루미큐브가 그래도 머리 굴리는데 좋은거아닌가요?
14701,맞아요. 루미큐브하면 머리 엄청 써요~,지면 꿀밤맞기 어때요?
14702,낼 뭐입어야되나요?,얇은 옷 많이 걸쳐야 할 것같아요.
14703,패딩은 아직 오바죠?,아뇨 아침엔 괜찮아요.
14704,회사잠바 맘에 드세요?,네
14705,조끼는요? 전 답답하더라구여,저도 매일입어요. 따뜻해서요.
14706,맞아요 조끼가 활동할땐편한데 흑흑,조끼가 좀 무거워요.
14707,넷플릭스에서 우리나라 작품 조회 수가 1등을 했데!,정말?/우리나라 작품은 우리나라 안에서만 인기 있는 줄 알았는데 대박
14708,벌써 1억 뷰가 넘었대!,우와! 엄청나다
14709,주연은 이정재 배우이고 다른 배우들도 엄청나던데?ㅋ,역시 믿고 보는 이정재~
14710,그건! 직접 확인하세요~,바로 확인하러 가야겠다 안녕~
14711,나 다시 운동찔끔씩 해볼라고,그래 무슨 운동시작했어?
